CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Deskripsi Cluster
53,Female,31,43,54,0,⚖️ Rata-rata
58,Male,69,44,46,0,⚖️ Rata-rata
57,Female,51,44,50,0,⚖️ Rata-rata
59,Female,27,46,51,0,⚖️ Rata-rata
55,Female,50,43,45,0,⚖️ Rata-rata
54,Male,59,43,60,0,⚖️ Rata-rata
56,Male,47,43,41,0,⚖️ Rata-rata
179,Male,59,93,14,3,"❓ Penghasilan tinggi, belanja rendah"
195,Female,47,120,16,3,"❓ Penghasilan tinggi, belanja rendah"
183,Male,46,98,15,3,"❓ Penghasilan tinggi, belanja rendah"
185,Female,41,99,39,3,"❓ Penghasilan tinggi, belanja rendah"
187,Female,54,101,24,3,"❓ Penghasilan tinggi, belanja rendah"
189,Female,41,103,17,3,"❓ Penghasilan tinggi, belanja rendah"
191,Female,34,103,23,3,"❓ Penghasilan tinggi, belanja rendah"
193,Male,33,113,8,3,"❓ Penghasilan tinggi, belanja rendah"
125,Female,23,70,29,3,"❓ Penghasilan tinggi, belanja rendah"
145,Male,25,77,12,3,"❓ Penghasilan tinggi, belanja rendah"
197,Female,45,126,28,3,"❓ Penghasilan tinggi, belanja rendah"
129,Male,59,71,11,3,"❓ Penghasilan tinggi, belanja rendah"
177,Male,58,88,15,3,"❓ Penghasilan tinggi, belanja rendah"
131,Male,47,71,9,3,"❓ Penghasilan tinggi, belanja rendah"
149,Female,34,78,22,3,"❓ Penghasilan tinggi, belanja rendah"
135,Male,20,73,5,3,"❓ Penghasilan tinggi, belanja rendah"
137,Female,44,73,7,3,"❓ Penghasilan tinggi, belanja rendah"
147,Male,48,77,36,3,"❓ Penghasilan tinggi, belanja rendah"
139,Male,19,74,10,3,"❓ Penghasilan tinggi, belanja rendah"
141,Female,57,75,5,3,"❓ Penghasilan tinggi, belanja rendah"
153,Female,44,78,20,3,"❓ Penghasilan tinggi, belanja rendah"
151,Male,43,78,17,3,"❓ Penghasilan tinggi, belanja rendah"
181,Female,37,97,32,3,"❓ Penghasilan tinggi, belanja rendah"
159,Male,34,78,1,3,"❓ Penghasilan tinggi, belanja rendah"
175,Female,52,88,13,3,"❓ Penghasilan tinggi, belanja rendah"
163,Male,19,81,5,3,"❓ Penghasilan tinggi, belanja rendah"
167,Male,42,86,20,3,"❓ Penghasilan tinggi, belanja rendah"
161,Female,56,79,35,3,"❓ Penghasilan tinggi, belanja rendah"
169,Female,36,87,27,3,"❓ Penghasilan tinggi, belanja rendah"
171,Male,40,87,13,3,"❓ Penghasilan tinggi, belanja rendah"
165,Male,50,85,26,3,"❓ Penghasilan tinggi, belanja rendah"
157,Male,37,78,1,3,"❓ Penghasilan tinggi, belanja rendah"
173,Male,36,87,10,3,"❓ Penghasilan tinggi, belanja rendah"
199,Male,32,137,18,3,"❓ Penghasilan tinggi, belanja rendah"
155,Female,47,78,16,3,"❓ Penghasilan tinggi, belanja rendah"
148,Female,32,77,74,1,💰 Penghasilan & belanja tinggi
152,Male,39,78,88,1,💰 Penghasilan & belanja tinggi
160,Female,30,78,73,1,💰 Penghasilan & belanja tinggi
198,Male,32,126,74,1,💰 Penghasilan & belanja tinggi
150,Male,34,78,90,1,💰 Penghasilan & belanja tinggi
156,Female,27,78,89,1,💰 Penghasilan & belanja tinggi
162,Female,29,79,83,1,💰 Penghasilan & belanja tinggi
146,Male,28,77,97,1,💰 Penghasilan & belanja tinggi
158,Female,30,78,78,1,💰 Penghasilan & belanja tinggi
178,Male,27,88,69,1,💰 Penghasilan & belanja tinggi
154,Female,38,78,76,1,💰 Penghasilan & belanja tinggi
166,Female,36,85,75,1,💰 Penghasilan & belanja tinggi
196,Female,35,120,79,1,💰 Penghasilan & belanja tinggi
194,Female,38,113,91,1,💰 Penghasilan & belanja tinggi
168,Female,33,86,95,1,💰 Penghasilan & belanja tinggi
192,Female,32,103,69,1,💰 Penghasilan & belanja tinggi
190,Female,36,103,85,1,💰 Penghasilan & belanja tinggi
170,Male,32,87,63,1,💰 Penghasilan & belanja tinggi
188,Male,28,101,68,1,💰 Penghasilan & belanja tinggi
186,Male,30,99,97,1,💰 Penghasilan & belanja tinggi
172,Male,28,87,75,1,💰 Penghasilan & belanja tinggi
184,Female,29,98,88,1,💰 Penghasilan & belanja tinggi
182,Female,32,97,86,1,💰 Penghasilan & belanja tinggi
180,Male,35,93,90,1,💰 Penghasilan & belanja tinggi
174,Male,36,87,92,1,💰 Penghasilan & belanja tinggi
164,Female,31,81,93,1,💰 Penghasilan & belanja tinggi
176,Female,30,88,86,1,💰 Penghasilan & belanja tinggi
200,Male,30,137,83,1,💰 Penghasilan & belanja tinggi
142,Male,32,75,93,1,💰 Penghasilan & belanja tinggi
144,Female,32,76,87,1,💰 Penghasilan & belanja tinggi
124,Male,39,69,91,1,💰 Penghasilan & belanja tinggi
128,Male,40,71,95,1,💰 Penghasilan & belanja tinggi
130,Male,38,71,75,1,💰 Penghasilan & belanja tinggi
126,Female,31,70,77,1,💰 Penghasilan & belanja tinggi
134,Female,31,72,71,1,💰 Penghasilan & belanja tinggi
136,Female,29,73,88,1,💰 Penghasilan & belanja tinggi
138,Male,32,73,73,1,💰 Penghasilan & belanja tinggi
140,Female,35,74,72,1,💰 Penghasilan & belanja tinggi
132,Male,39,71,75,1,💰 Penghasilan & belanja tinggi
18,Male,20,21,66,2,"📣 Penghasilan rendah, belanja tinggi"
26,Male,29,28,82,2,"📣 Penghasilan rendah, belanja tinggi"
24,Male,31,25,73,2,"📣 Penghasilan rendah, belanja tinggi"
22,Male,25,24,73,2,"📣 Penghasilan rendah, belanja tinggi"
20,Female,35,23,98,2,"📣 Penghasilan rendah, belanja tinggi"
16,Male,22,20,79,2,"📣 Penghasilan rendah, belanja tinggi"
6,Female,22,17,76,2,"📣 Penghasilan rendah, belanja tinggi"
12,Female,35,19,99,2,"📣 Penghasilan rendah, belanja tinggi"
10,Female,30,19,72,2,"📣 Penghasilan rendah, belanja tinggi"
8,Female,23,18,94,2,"📣 Penghasilan rendah, belanja tinggi"
4,Female,23,16,77,2,"📣 Penghasilan rendah, belanja tinggi"
2,Male,21,15,81,2,"📣 Penghasilan rendah, belanja tinggi"
14,Female,24,20,77,2,"📣 Penghasilan rendah, belanja tinggi"
30,Female,23,29,87,2,"📣 Penghasilan rendah, belanja tinggi"
28,Male,35,28,61,2,"📣 Penghasilan rendah, belanja tinggi"
32,Female,21,30,73,2,"📣 Penghasilan rendah, belanja tinggi"
46,Female,24,39,65,2,"📣 Penghasilan rendah, belanja tinggi"
34,Male,18,33,92,2,"📣 Penghasilan rendah, belanja tinggi"
36,Female,21,33,81,2,"📣 Penghasilan rendah, belanja tinggi"
42,Male,24,38,92,2,"📣 Penghasilan rendah, belanja tinggi"
38,Female,30,34,73,2,"📣 Penghasilan rendah, belanja tinggi"
40,Female,20,37,75,2,"📣 Penghasilan rendah, belanja tinggi"
29,Female,40,29,31,4,🧍 Penghasilan & belanja rendah
3,Female,20,16,6,4,🧍 Penghasilan & belanja rendah
45,Female,49,39,28,4,🧍 Penghasilan & belanja rendah
5,Female,31,17,40,4,🧍 Penghasilan & belanja rendah
43,Male,48,39,36,4,🧍 Penghasilan & belanja rendah
7,Female,35,18,6,4,🧍 Penghasilan & belanja rendah
9,Male,64,19,3,4,🧍 Penghasilan & belanja rendah
41,Female,65,38,35,4,🧍 Penghasilan & belanja rendah
11,Male,67,19,14,4,🧍 Penghasilan & belanja rendah
15,Male,37,20,13,4,🧍 Penghasilan & belanja rendah
39,Female,36,37,26,4,🧍 Penghasilan & belanja rendah
31,Male,60,30,4,4,🧍 Penghasilan & belanja rendah
17,Female,35,21,35,4,🧍 Penghasilan & belanja rendah
37,Female,42,34,17,4,🧍 Penghasilan & belanja rendah
19,Male,52,23,29,4,🧍 Penghasilan & belanja rendah
21,Male,35,24,35,4,🧍 Penghasilan & belanja rendah
35,Female,49,33,14,4,🧍 Penghasilan & belanja rendah
23,Female,46,25,5,4,🧍 Penghasilan & belanja rendah
25,Female,54,28,14,4,🧍 Penghasilan & belanja rendah
33,Male,53,33,4,4,🧍 Penghasilan & belanja rendah
27,Female,45,28,32,4,🧍 Penghasilan & belanja rendah
13,Female,58,20,15,4,🧍 Penghasilan & belanja rendah
1,Male,19,15,39,4,🧍 Penghasilan & belanja rendah
